10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 2
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 2, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
10, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 2
11, 1, 1, 1
11, 2, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 2, 1, 1
11, 1, 1, 1
11, 4, 3, 2
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 2
11, 1, 1, 1
11, 2, 2, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 2, 2
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 1
11, 1, 1, 2
11, 1, 1, 1
11, 1, 1, 1
12, 1, 1, 2
12, 1, 1, 2
12, 1, 1, 2
12, 4, 3, 2
12, 1, 1, 2
12, 2, 1, 1
12, 1, 1, 1
12, 1, 1, 1
12, 1, 2, 2
12, 2, 1, 1
12, 2, 1, 1
12, 1, 1, 2
12, 4, 3, 2
12, 2, 1, 1
12, 2, 1, 1
12, 1, 1, 2
12, 1, 1, 2
12, 2, 1, 2
12, 1, 1, 2
12, 2, 2, 1
12, 2, 2, 1
12, 1, 1, 2
12, 2, 2, 1
12, 1, 1, 1
12, 1, 1, 2
12, 2, 1, 1
12, 2, 2, 2
12, 1, 1, 2
12, 1, 2, 2
12, 1, 1, 1
